-1.999465834273862708e+00,1.999999879214459320e+00
-1.998342543503524915e+00,2.000000361989111131e+00
-1.996064392860668502e+00,2.000001068713318730e+00
-1.992630286828785513e+00,2.000001953492829276e+00
-1.988039969558038189e+00,2.000003055422329368e+00
-1.982293342631705091e+00,2.000004364007586855e+00
-1.975390230196154784e+00,2.000005958218712632e+00
-1.967330960692392550e+00,2.000007860825823158e+00
-1.958115713461110019e+00,2.000010047186471240e+00
-1.947941059520237106e+00,2.000012257474769406e+00
-1.937740299245220843e+00,2.000014270690382290e+00
-1.927538658416701800e+00,2.000016109521902230e+00
-1.917337037177560211e+00,2.000017832524493056e+00
-1.907135648809263673e+00,2.000019548694659477e+00
-1.896934509564991211e+00,2.000021407792678563e+00
-1.886733601777418556e+00,2.000023517405996376e+00
-1.876532782587751580e+00,2.000025822497102812e+00
-1.866331808259591662e+00,2.000028056112210351e+00
-1.856130703690408890e+00,2.000030047447870718e+00
-1.845929463861249786e+00,2.000031840971618902e+00
-1.835728119536024883e+00,2.000033672305177923e+00
-1.825526719900741890e+00,2.000035654600885060e+00
-1.815325354904269162e+00,2.000037758166869128e+00
-1.805124068472518273e+00,2.000039959303556714e+00
-1.794922859685285088e+00,2.000042143648113946e+00
-1.784721731660363631e+00,2.000044195002016245e+00
-1.774520637080580165e+00,2.000046137840783889e+00
-1.764319534039046289e+00,2.000048070806180522e+00
-1.754118378567579573e+00,2.000050147073529239e+00
-1.743917180344889850e+00,2.000052334257469422e+00
-1.733715901421891470e+00,2.000054518301858764e+00
-1.723514585254672049e+00,2.000056668050573805e+00
-1.713313246521665389e+00,2.000058758508492129e+00
-1.703112000951056526e+00,2.000060810330534622e+00
-1.692910797602356965e+00,2.000062856369296149e+00
-1.682709607010940633e+00,2.000064943679095819e+00
-1.672508483877250596e+00,2.000067043648097620e+00
-1.662307328787070215e+00,2.000069242789037194e+00
-1.652106173153579771e+00,2.000071432707382968e+00
-1.641904994404571605e+00,2.000073675614715718e+00
-1.631703790348509653e+00,2.000075941880559149e+00
